sampleID,Kartez,family,genus_new,species_new,genus_old,species_old,Native,PhotoPath,LifeHistory,FunctionalGroup,site,lf_sum_area,lf_n_pieces,lf_whole_ind,lf_wet_mass,lf_dry_mass,sla,ldmc,lf_petiole_ind,lf_iso_mass,lf_iso_d15N,lf_iso_d13C,lf_iso_pN,lf_iso_pC,lf_iso_CN,stem_wet_mass,stem_length,stem_diam_1,stem_diam_2,root_wet_mass,root_length,root_diam_1,root_diam_2,stem_dry_mass_1,stem_dry_mass_2,sdmc,sdens,root_dry_mass_1,root_dry_mass_2,rdmc,rdens,fine_root_length_sum,fine_root_p95_diam,fine_root_volume_sum,fine_root_wet_mass,fine_root_dry_mass,fr_dmc,srl,fr_dens,seed_mass_sum,seed_n,seed_mass
446,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,4.57676504,5,TRUE,0.0977,0.0125,366.1412032,0.127942682,FALSE,3.141,6.4201875,-14.662625,3.902281949,41.57179725,10.65320184,0.3612,31,3.5,3.7,0.1792,27.5,1.5,2.9,0.09,0.0895,0.247785161,2.83567e-4,0.0443,0.0442,0.246651786,4.09016e-4,NA,NA,NA,NA,NA,NA,NA,NA,1.224,11,0.111272727
447,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,2.1032216,5,TRUE,0.0372,0.0053,396.8342642,0.142473118,FALSE,1.215,5.1724875,-14.805625,2.471078115,42.96355311,17.3865621,0.4674,36.5,3.8,3.6,0.2683,34.3,2.1,3.4,0.1134,0.1133,0.242404792,2.88628e-4,0.0677,0.0675,0.251584048,3.25268e-4,NA,NA,NA,NA,NA,NA,NA,NA,2.815,10,0.2815
448,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5381,48.9,3.7,3.2,0.2901,53,3.2,1.6,0.087,0.0869,0.161494146,1.89768e-4,0.0502,0.0499,0.172009652,2.00687e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.53024339,0.056474398,0.050052708,46.37,5.028,0.108432176,0.149954175,100.4541055,NA,NA,NA
590,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.56217981,0.037228565,0.027403583,29.99,2.302,0.07675892,0.072935393,84.0036143,NA,NA,NA
591,AMPA,Amaranthaceae,Amaranthus,palmeri,Amaranthus,palmeri,y,C4,a,f,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.32675827,0.034446509,0.021172217,21.36,1.302,0.060955056,0.047645608,61.49568616,NA,NA,NA
284,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,2.60709156,10,TRUE,0.0556,0.0093,280.3324258,0.167266187,FALSE,NA,NA,NA,NA,NA,NA,0.1238,35.9,1.7,1.6,0.0457,24.5,0.8,1.4,0.0353,0.0353,0.285137318,4.59716e-4,0.0148,0.0146,0.319474836,6.11893e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,1.54386788,7,TRUE,0.0348,0.0054,285.9014593,0.155172414,FALSE,NA,NA,NA,NA,NA,NA,0.036,8.9,1.4,1.5,0.1206,33.8,2.2,1.3,0.0093,0.009,0.25,6.12146e-4,0.0353,0.0352,0.291873964,4.23635e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,5.2386992,7,TRUE,0.0961,0.0123,425.9105041,0.127991675,FALSE,1.921,3.6090875,-32.110625,1.70526722,47.51827912,27.86559114,0.0369,17.3,1.3,1.3,0.026,36.5,0.5,0.9,0.0099,0.0091,0.246612466,3.96295e-4,0.0082,0.0072,0.276923077,4.98993e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,5.09224788,5,TRUE,0.1153,0.0154,330.6654468,0.133564614,FALSE,3.043,1.5072875,-30.818625,3.027276155,47.71770893,15.7625887,0.0425,15.8,1.3,1.4,0.0288,26.2,0.7,0.9,0.0125,0.0123,0.289411765,5.43616e-4,0.0087,0.0083,0.288194444,6.26976e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,1.34967472,7,TRUE,0.0218,0.0039,346.070441,0.178899083,FALSE,NA,NA,NA,NA,NA,NA,0.0529,31.7,0.8,0.9,0.0239,30.1,1,0.5,0.0152,0.0152,0.287334594,8.44027e-4,0.0076,0.0071,0.29707113,5.14856e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.35944723,0.028691145,0.016022563,28.46,1.787,0.062789881,0.046585656,111.53021939999999,NA,NA,NA
506,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.93009084,0.022355386,0.014935774,30.56,1.684,0.055104712,0.033064932,112.7494263,NA,NA,NA
507,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,core_black,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.87245509,0.031167314,0.014909191,32.17,1.953,0.060708735,0.048981183,130.9930248,NA,NA,NA
750,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.625,19,0.243421053
751,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.428,18,0.301555556
752,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.232,20,0.2116
753,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.717,20,0.33585
754,APRAH,Asteraceae,Aphanostephus,ramosissimus,Aphanostephus,ramosissimus,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.698,20,0.2349
335,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,4.25031408,5,TRUE,0.0995,0.0196,216.8527592,0.196984925,FALSE,NA,NA,NA,NA,NA,NA,0.0514,6.2,2.1,3.1,0.2452,32.1,2,2.9,0.0153,0.0151,0.293774319,4.53135e-4,0.0802,0.08,0.326264274,5.22765e-4,NA,NA,NA,NA,NA,NA,NA,NA,1.187,19,0.062473684
336,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,6.61998676,5,TRUE,0.2081,0.061,108.5243731,0.293128304,FALSE,3.27,-2.0228125,-29.380625,2.923607302,43.74239675,14.9617894,0.056,5.2,3.4,2.5,0.2057,30.3,2.3,2.8,0.0194,0.0191,0.341071429,5.33262e-4,0.0728,0.0725,0.352455032,4.67021e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,4.84321612,5,TRUE,0.1247,0.0258,187.721555,0.206896552,FALSE,NA,NA,NA,NA,NA,NA,0.0934,7,2.2,2.8,0.2026,34.8,2.1,2.3,0.029,0.0287,0.307280514,8.31256e-4,0.0672,0.0666,0.328726555,5.03108e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,4.98515132,5,TRUE,0.1431,0.0326,152.9187521,0.227812718,FALSE,3.204,-5.7143125,-29.288625,2.894451383,43.77478199,15.12368881,0.0716,12.3,2,2.1,0.2618,32.7,2,3.4,0.0228,0.0224,0.312849162,5.51645e-4,0.0885,0.0881,0.336516425,4.60244e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,4.37805576,5,TRUE,0.1067,0.0266,164.5885624,0.249297095,FALSE,3.075,-1.3023125,-29.627625,2.530768599,44.37674195,17.53488721,0.155,6.9,4.2,4.6,0.2027,16,3.1,4.2,0.046,0.046,0.296774194,4.38142e-4,0.0682,0.0682,0.336457819,4.0431e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.71459859,0.030659148,0.011054123,6.61,0.949,0.143570348,0.041779299,85.85032004,NA,NA,NA
695,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.13028978,0.025476413,0.003801603,7.35,0.22,0.029931973,0.018136418,57.87032216,NA,NA,NA
696,ARFEF,Brassicaceae,Boechera,fendleri,Arabis,fendleri,y,C3,p,f,core_PJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.46391655,0.030031905,0.003505375,4.61,0.206,0.044685466,0.019686701,58.76689579,NA,NA,NA
415,ARAD,Poaceae,Aristida,adscensionis,Aristida,adscensionis,y,C4,a,g,core_blue,4.73999052,6,FALSE,0.048,0.0177,267.7960746,0.36875,FALSE,3.094,3.4596875,-15.628625,1.708700474,44.20269327,25.86918769,0.0145,28.4,0.5,0.6,0.0064,30,0.4,0.1,0.0052,0.0045,0.310344828,6.65096e-4,0.0024,0.0024,0.375,0.001455132,NA,NA,NA,NA,NA,NA,NA,NA,6.802,9,0.755777778
416,ARAD,Poaceae,Aristida,adscensionis,Aristida,adscensionis,y,C4,a,g,core_blue,4.27289468,6,FALSE,0.0484,0.0181,236.0715293,0.373966942,FALSE,3.238,3.0073875,-15.647625,1.638641107,42.64084799,26.02207879,0.0142,24.9,0.2,0.2,0.0052,44.5,0.2,0.2,0.0023,0.0019,0.133802817,0.002428873,0.0025,0.0022,0.423076923,0.001573668,NA,NA,NA,NA,NA,NA,NA,NA,2.929,4,0.73225
417,ARAD,Poaceae,Aristida,adscensionis,Aristida,adscensionis,y,C4,a,g,core_blue,3.532251,3,TRUE,0.0384,0.0121,291.9215702,0.315104167,FALSE,3.334,3.5896875,-15.266625,1.359520749,44.67159223,32.85833795,0.0145,26.4,0.2,0.2,0.0054,55.9,0.2,0.1,0.003,0.0024,0.165517241,0.002893729,0.002,0.0018,0.333333333,0.001757092,NA,NA,NA,NA,NA,NA,NA,NA,4.332,7,0.618857143
615,ARAD,Poaceae,Aristida,adscensionis,Aristida,adscensionis,y,C4,a,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.87074674,0.05115531,0.049334158,53.24,8.231,0.154601803,0.211753071,166.8418047,NA,NA,NA
616,ARAD,Poaceae,Aristida,adscensionis,Aristida,adscensionis,y,C4,a,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.91133808,0.045557533,0.041998399,32.25,7.158,0.221953488,0.193924154,170.4350699,NA,NA,NA
617,ARAD,Poaceae,Aristida,adscensionis,Aristida,adscensionis,y,C4,a,g,core_blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.32721713,0.033759729,0.037610769,39.89,5.26,0.131862622,0.081769432,139.8535611,NA,NA,NA
254,ARPU9,Poaceae,Aristida,purpurea,Aristida,purpurea,y,C4,p,g,core_blue,3.25676768,5,TRUE,0.0733,0.0322,101.1418534,0.439290587,FALSE,NA,NA,NA,NA,NA,NA,0.0273,37.3,0.8,0.6,0.041,64.4,0.6,0.4,0.0139,0.0136,0.498168498,9.41023e-4,0.0131,0.0131,0.319512195,0.001022359,NA,NA,NA,NA,NA,NA,NA,NA,8.535,3,2.845
255,ARPU9,Poaceae,Aristida,purpurea,Aristida,purpurea,y,C4,p,g,core_blue,4.59934564,9,TRUE,0.1231,0.0501,91.80330619,0.40698619,FALSE,3.133,1.2176875,-14.364625,1.259478595,44.79171559,35.56369736,0.0145,18.6,0.5,0.7,0.0304,68.1,0.6,0.2,0.0058,0.0055,0.379310345,0.001036227,0.0118,0.0118,0.388157895,0.001272809,NA,NA,NA,NA,NA,NA,NA,NA,15.527,6,2.587833333
256,ARPU9,Poaceae,Aristida,purpurea,Aristida,purpurea,y,C4,p,g,core_blue,4.26579792,8,TRUE,0.1247,0.0429,99.43584895,0.344025662,FALSE,NA,NA,NA,NA,NA,NA,0.0289,41.2,0.6,0.6,0.0376,68.7,0.4,0.5,0.0125,0.0122,0.422145329,0.001047299,0.0118,0.0118,0.313829787,0.001075542,NA,NA,NA,NA,NA,NA,NA,NA,8.731,5,1.7462
257,ARPU9,Poaceae,Aristida,purpurea,Aristida,purpurea,y,C4,p,g,core_blue,5.66256932,9,TRUE,0.151,0.0583,97.1281187,0.386092715,FALSE,3.15,1.4546875,-13.913625,1.102837435,45.31325302,41.08788075,0.0569,45.8,0.7,0.9,0.0246,49.2,0.4,0.4,0.0252,0.0251,0.44112478,0.001084633,0.0088,0.0084,0.341463415,0.001358641,NA,NA,NA,NA,NA,NA,NA,NA,15.792,10,1.5792
258,ARPU9,Poaceae,Aristida,purpurea,Aristida,purpurea,y,C4,p,g,core_blue,6.10256844,8,TRUE,0.1656,0.0712,85.7102309,0.429951691,FALSE,3.029,0.9996875,-14.327625,1.202294413,44.68809233,37.16900939,0.0419,35,8,1,0.0347,60.1,0.5,0.3,0.0202,0.0199,0.474940334,2.98e-5,0.0095,0.009,0.259365994,0.001167357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,core_black,2.04386688,5,TRUE,0.0513,0.0146,139.9908822,0.28460039,FALSE,3.175,1.1176875,-27.217625,4.867976401,46.98243112,9.651326804,0.0824,8.9,2.5,3.1,0.2154,39.9,2,2.4,0.0186,0.0186,0.225728155,3.38111e-4,0.0509,0.0508,0.235840297,3.34011e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,core_black,1.86709304,5,TRUE,0.0545,0.0138,135.2965971,0.253211009,FALSE,3.055,1.3946875,-28.209625,4.781776707,45.92979373,9.605173255,0.1003,10.9,2.8,3,0.3261,47.4,2,2.6,0.0235,0.0233,0.232303091,3.23498e-4,0.0902,0.0896,0.274762343,4.52406e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,core_black,2.81483308,5,TRUE,0.0835,0.0207,135.9822744,0.247904192,TRUE,3.283,0.2286875,-29.220625,4.214122452,45.0066752,10.67996379,0.1904,9.1,4.3,4.4,0.396,26.8,3.8,3.1,0.0363,0.0356,0.18697479,2.63222e-4,0.0784,0.0783,0.197727273,3.11467e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,core_creosote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.12605492,0.067928158,0.01693396,23.96,4.99,0.208263773,0.546786102,294.6741357,NA,NA,NA
519,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,core_creosote,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.8028369,0.061581967,0.127519619,232.53,46.82,0.201350363,0.594141047,367.1591895,NA,NA,NA
755,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.623,11,2.874818182
756,ASFE2,Fabaceae,Astragalus,missouriensis,Astragalus,missouriensis,y,C3,p,f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.128,17,3.654588235
340,ASNU4,Fabaceae,Astragalus,nuttallianus,Astragalus,nuttallianus,y,C3,p,f,core_PJ,2.63418828,10,TRUE,0.0592,0.012,219.51569,0.202702703,FALSE,3.187,-0.3333125,-26.293625,6.05636506,46.28154292,7.641802048,0.0414,12.9,1.2,1.2,0.2635,20.7,2.8,3.4,0.0091,0.0091,0.219806763,6.23734e-4,0.0815,0.0811,0.307779886,5.17469e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
