"","sample","total.leaf.area"
"312","lubb_05_soel02_009cropped",11.221
"313","lubb_08_bogr02_027cropped",0.451
"314","lubb_08_chin01_138cropped",9.78
"315","lubb_08_chin02_015cropped",9.575
"316","lubb_08_prgl02_146cropped",11.124
"317","lubb_08_saka01_222cropped",2.217
"318","lubb_08_saka02_018cropped",0.861
"319","lubb_08_soel01_219cropped",11.547
"320","lubb_08_soel02_149cropped",10.567
"321","lubb_27_bogr02_042cropped",0.859
"322","lubb_27_chin01_123(2)cropped",10.708
"323","lubb_27_chin01_123cropped",10.708
"324","lubb_27_chin02_030cropped",15.49
"325","lubb_27_prgl01_126(2)cropped",4.348
"326","lubb_27_prgl01_126cropped",4.341
"327","lubb_27_prgl02_036cropped",1.418
"328","lubb_27_prgl03_150cropped",11.169
"329","lubb_27_prgl04_151cropped",23.995
"330","lubb_27_saka02_033cropped",2.759
"331","lubb_27_soel02_039cropped",15.305
"332","lubb_28_bogr02_057cropped",1.245
"333","lubb_28_chin01_117(3)cropped",19.493
"334","lubb_28_chin02_045cropped",15.609
"335","lubb_28_prgl01_120(2)cropped",11.417
"336","lubb_28_prgl02_051cropped",12.932
"337","lubb_28_saka02_048cropped",1.247
"338","lubb_28_soel02_054cropped",23.928
"339","lubb_29_bogr02_066cropped",3.359
"340","lubb_29_chin01_108(2)cropped",19.65
"341","lubb_29_chin02_060cropped",14.388
"342","lubb_29_saka01_111(2)cropped",2.596
"343","lubb_29_saka02_063cropped",3.898
"344","lubb_29_soel02_069cropped",14.431
"345","lubb_37_bogr01_105(3)cropped",0.58
"346","lubb_37_bogr02_081cropped",2.163
"347","lubb_37_chin02_075cropped",10.344
"348","lubb_37_prgl02_087cropped",20.745
"349","lubb_37_prgl03_141cropped",24.016
"350","lubb_37_saka02_078cropped",1.29
"351","lubb_37_soel01_096(2)cropped",15.29
"352","lubb_37_soel02_084cropped",18.29
"353","lubb_37_soel02_099(2)cropped",24.094
