site_code,site,experiment_type,block,plot,N,P,K,Exclose,Treatment_Other_Name,Treatment_Other_Level,Treatment,first_nutrient_year,first_fenced_year
arch.us,arch,Experimental (Full Factorial),3,23,0,1,0,0,NULL,NULL,P,2016,2016
arch.us,arch,Experimental (Full Factorial),3,24,1,0,0,0,NULL,NULL,N,2016,2016
arch.us,arch,Experimental (Full Factorial),3,25,0,1,1,0,NULL,NULL,PK,2016,2016
arch.us,arch,Experimental (Full Factorial),3,26,1,0,1,0,NULL,NULL,NK,2016,2016
arch.us,arch,Experimental (Full Factorial),3,27,1,1,0,0,NULL,NULL,NP,2016,2016
arch.us,arch,Experimental (Full Factorial),3,28,1,1,1,0,NULL,NULL,NPK,2016,2016
arch.us,arch,Experimental (Full Factorial),3,29,0,0,0,1,NULL,NULL,Fence,2016,2016
arch.us,arch,Experimental (Full Factorial),3,30,1,1,1,1,NULL,NULL,NPK+Fence,2016,2016
azi.cn,azi,Experimental (Full Factorial),1,1,0,0,0,0,NULL,NULL,Control,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,2,0,0,1,0,NULL,NULL,K,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,3,0,1,0,0,NULL,NULL,P,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,4,1,0,0,0,NULL,NULL,N,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,5,0,1,1,0,NULL,NULL,PK,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,6,1,0,1,0,NULL,NULL,NK,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,7,1,1,0,0,NULL,NULL,NP,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,8,1,1,1,0,NULL,NULL,NPK,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,9,0,0,0,1,NULL,NULL,Fence,2008,2008
azi.cn,azi,Experimental (Full Factorial),1,10,1,1,1,1,NULL,NULL,NPK+Fence,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,11,0,0,0,0,NULL,NULL,Control,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,12,0,0,1,0,NULL,NULL,K,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,13,0,1,0,0,NULL,NULL,P,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,14,1,0,0,0,NULL,NULL,N,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,15,0,1,1,0,NULL,NULL,PK,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,16,1,0,1,0,NULL,NULL,NK,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,17,1,1,0,0,NULL,NULL,NP,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,18,1,1,1,0,NULL,NULL,NPK,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,19,0,0,0,1,NULL,NULL,Fence,2008,2008
azi.cn,azi,Experimental (Full Factorial),2,20,1,1,1,1,NULL,NULL,NPK+Fence,2008,2008
azi.cn,azi,Experimental (Full Factorial),3,21,0,0,0,0,NULL,NULL,Control,2008,2008
azi.cn,azi,Experimental (Full Factorial),3,22,0,0,1,0,NULL,NULL,K,2008,2008
azi.cn,azi,Experimental (Full Factorial),3,23,0,1,0,0,NULL,NULL,P,2008,2008
