site,rain_intensity,type,weight_n_percent,weight_c_percent,"isotope_
source",isotope_location,isotope_notes,UC Davis_smallest_calculator weight.mg_15N.13C,UC Davis_optimal_calculator weight.mg_15N.13C,UC Davis_largest_calculator weight.mg_15N.13C,taxon_code,family,taxon,Notes
temple,medium,forb,1.858,40.344,try,Kansas,Galium aparine,1.08,4.96,4.96,GATE,Rubiaceae,galium texense,
sevi,very low,forb,2.016492286,46.75897431,sevi database,New Mexico,,0.99,4.28,4.28,HODR,Fabaceae,hoffmannseggia drepanocarpa,
arch,high,forb,1.6,50.98,try,Florida,"Hypericum fasciculatum",1.25,3.92,3.92,HYED,Hypericaceae,hypericum edisonianum,
arch,high,forb,1.5276,48.34375,average,average,average of forbs by arch,1.31,4.14,4.14,LUSU,Onagraceae,ludwigia suffruticosa,
arch,high,forb,1.26,53.19,try,Florida,,1.59,3.76,3.76,LYLU,Ericaceae,lyonia lucida,
temple,medium,forb,4.133266667,47.75166667,Evan,Texas,Mimosa quadrivalvis sp.,0.48,2.42,3.63,MIPL,Fabaceae,mimosa roemeriana,
temple,medium,forb,2.328365417,40.14629583,average,average,average of the others site locations,0.86,4.29,4.98,MOCI,Lamiaceae,monarda citriodora,
arch,high,grass,1.7,42.23,try,Indiana,Panicum virgatum,1.18,4.74,4.74,SCRH_hairy,Poaceae,panicum longifolium,"not 100% sure on species, panicle not fully developed"
arch,high,grass,1.7,42.23,try,Indiana,Panicum virgatum,1.18,4.74,4.74,SCRH_hairy,Poaceae,panicum sp.,"not 100% sure on species, panicle not fully developed"
temple,medium,forb,1.336,36.21,try,Kansas,,1.49,5.52,5.52,PAPE,Urticaceae,parietaria pensylvanica,
arch,high,grass,3.594,42.775,try,Kansas,Paspalum pubiflorum,0.56,2.79,4.18,PANO,Poaceae,paspalum setaceum,vegetative state very similar to PANO. Might have mixed species in the field. Pointy leaves
temple,medium,forb,2.706,42.691,try,Kansas,"Physalis virginiana",0.74,3.96,4.68,PHMO,Solanaceae,physalis mollis,
arch,high,forb_carpet,1.5276,48.34375,average,average,average of forbs by arch,1.31,4.14,4.14,SpiderPoint,Asteraceae,pityopsis graminifolia,
temple,medium,grass,3,46,UC Davis,General,UC davis example calculator general amount used,0.67,3.33,4.35,GRASS,Poaceae,poaceae sp.,
sevi,very low,forb,2.8,44,sevi database,New Mexico,,0.71,3.57,4.55,POJA,Fabaceae,pomaria jamesii,
lubb,low,forb,3.178272727,46.61112121,evan,Texas,,0.63,3.14,4.29,PRGL2,Fabaceae,prosopis glandulosa,
temple,medium,forb,2.328365417,40.14629583,average,average,average of the others site locations,0.86,4.29,4.98,PSTE,Fabaceae,psoralidium tenuifolium,
arch,high,forb_carpet,1.97,48.34375,try,South Carolina,"N provided by try, and carbon average of arch site.",1.02,4.14,4.14,PTPY,Asteraceae,pterocaulon pycnostachyum,
arch,high,forb,0.89,48.34375,try,Florida,"Nitrogen provided by TRY, carbon provided by average",2.25,4.14,4.14,QUMI,Fagaceae,quercus minima,
temple,medium,forb,1.506666667,46.78,evan,Texas,,1.32,4.28,4.28,RUTR,Rosaceae,rubus trivialis,
