"","sample","total.leaf.area"
"286","temple_21_coca02_022cropped",15.562
"287","temple_21_gapu01_031cropped",8.162
"288","temple_21_gapu02_034cropped",14.242
"289","temple_21_mipl02_037cropped",3.252
"290","temple_21_mipl02_040cropped",2.23
"291","temple_21_mipl03_043cropped",1.756
"292","temple_21_mipl04_046cropped",20.408
"293","temple_21_scsc01_007cropped",29.066
"294","temple_21_scsc02_010cropped",17.38
"295","temple_21_soha01_001cropped",103.694
"296","temple_21_soha02_004cropped",101.899
"297","temple_21_toar01_025cropped",2.144
"298","temple_21_toar02_028cropped",1.452
"299","temple_28_amtr01_013cropped",201.948
"300","temple_28_amtr02_016cropped",138.078
"301","temple_28_coca01_019cropped",17.192
"302","temple_28_coca02_022cropped",8.94
"303","temple_28_scsc01_007cropped",39.408
"304","temple_28_scsc02_010cropped",41.41
"305","temple_28_soha01_003cropped",148.47
"306","temple_28_soha02_004cropped",168.843
"307","temple_28_toar01_025cropped",3.17
"308","temple_28_toar02_028cropped",2.43
"309","lubb_05_bogr02_012cropped",1.872
"310","lubb_05_chin02_000cropped",29.024
"311","lubb_05_saka02_003cropped",15.138
"312","lubb_05_soel02_009cropped",22.442
"313","lubb_08_bogr02_027cropped",0.902
"314","lubb_08_chin01_138cropped",19.56
"315","lubb_08_chin02_015cropped",19.15
"316","lubb_08_prgl02_146cropped",22.248
"317","lubb_08_saka01_222cropped",4.434
"318","lubb_08_saka02_018cropped",1.722
"319","lubb_08_soel01_219cropped",23.094
"320","lubb_08_soel02_149cropped",21.134
"321","lubb_27_bogr02_042cropped",1.718
"322","lubb_27_chin01_123(2)cropped",21.416
"323","lubb_27_chin01_123cropped",21.416
"324","lubb_27_chin02_030cropped",30.98
"325","lubb_27_prgl01_126(2)cropped",8.696
"326","lubb_27_prgl01_126cropped",8.682
"327","lubb_27_prgl02_036cropped",2.836
"328","lubb_27_prgl03_150cropped",22.324
"329","lubb_27_prgl04_151cropped",47.988
"330","lubb_27_saka02_033cropped",5.518
"331","lubb_27_soel02_039cropped",30.61
"332","lubb_28_bogr02_057cropped",2.49
"333","lubb_28_chin01_117(3)cropped",38.986
"334","lubb_28_chin02_045cropped",31.218
"335","lubb_28_prgl01_120(2)cropped",22.822
"336","lubb_28_prgl02_051cropped",25.863
"337","lubb_28_saka02_048cropped",2.494
"338","lubb_28_soel02_054cropped",47.856
"339","lubb_29_bogr02_066cropped",6.718
"340","lubb_29_chin01_108(2)cropped",39.3
"341","lubb_29_chin02_060cropped",28.776
"342","lubb_29_saka01_111(2)cropped",5.192
"343","lubb_29_saka02_063cropped",7.796
"344","lubb_29_soel02_069cropped",28.862
"345","lubb_37_bogr01_105(3)cropped",1.16
"346","lubb_37_bogr02_081cropped",4.326
"347","lubb_37_chin02_075cropped",20.688
"348","lubb_37_prgl02_087cropped",41.464
"349","lubb_37_prgl03_141cropped",48.003
"350","lubb_37_saka02_078cropped",2.58
"351","lubb_37_soel01_096(2)cropped",30.58
"352","lubb_37_soel02_084cropped",36.58
"353","lubb_37_soel02_099(2)cropped",48.188
