,,,,,,,,,,,,,,,,isotope packing,,,,,,,
position,Box #,col_a-g,row_1-7,site,plot,trt,taxon,rep,multi_envelope,extra_envelope,vial ID / sample ID,extra needed?,Notes,who,ground,uc davis weight ideal,weight,plate,well id,comment_isotope,comment_minig,comment_problems,why
64,2,A,3,temple,1,ctl,GRASS,1,119,,multi_tmpl_01_ctl_GRASS_01_119,no,"all smpl used, no need for extra",hg,yes,,,1,F4,,,,
65,2,B,3,temple,1,ctl,GRASS,2,122,,multi_tmpl_01_ctl_GRASS_02_122,no,"all smpl used, no need for extra",hg,yes,,,1,F5,,,,
66,2,C,3,temple,1,ctl,MOCI,1,057,,multi_tmpl_01_ctl_MOCI_01_057,added,"all smpl used, all extra used",hg,yes,,,1,F6,,,,
67,2,D,3,temple,1,ctl,MOCI,2,060,,multi_tmpl_01_ctl_MOCI_02_060,no,"all smpl used, no need for extra",hg,yes,,,1,F7,,,,
68,2,E,3,temple,1,ctl,AMTR,3,009,,multi_tmpl_01_ctl_AMTR_03_009,no,,hg,yes,,,1,F8,,,,
69,2,F,3,temple,1,ctl,RUTR,3,027,,multi_tmpl_01_ctl_RUTR_03_027,no,,hg,yes,,,1,F9,,,,
70,2,G,3,temple,11,ctl,AMTR,2,010,,multi_tmpl_11_ctl_AMTR_02_010,no,,hg,yes,,,1,F10,,,,
71,2,A,4,temple,11,ctl,SOHA,2,004,,multi_tmpl_11_ctl_SOHA_02_004,no,,hg,yes,,,1,F11,,,,
72,2,B,4,temple,11,ctl,PSTE,1,037,,multi_tmpl_11_ctl_PSTE_01_037,added,"all smpl used, all extra used",hg,yes,,,1,F12,,,,
73,2,C,4,temple,11,ctl,MOCI,2,034,,multi_tmpl_11_ctl_MOCI_02_034,added,"all smpl used, extra used",hg,yes,,,1,G1,,,,
74,2,D,4,temple,11,ctl,SONU,1,043,,multi_tmpl_11_ctl_SONU_01_043,no,,hg,yes,,,1,G2,,,,
75,2,E,4,temple,11,ctl,SCSC,1,013,,multi_tmpl_11_ctl_SCSC_01_013_hard,no,,hg,yes,,,1,G3,,,,
76,2,F,4,temple,11,ctl,TOAR,1,025,,multi_tmpl_11_ctl_TOAR_01_025_hard,added,"all smpl used, all extra used",hg,yes,,,1,G4,,,,
77,2,G,4,temple,11,ctl,SONU,2,046,,multi_tmpl_11_ctl_SONU_02_046,no,,hg,yes,,,1,G5,,,,
78,2,A,5,temple,21,ctl,AMTR,1,016,,multi_tmpl_21_ctl_AMTR_01_016,no,,hg,yes,,,1,G6,,,,
79,2,B,5,temple,21,ctl,COCA,2,022,,multi_tmpl_21_ctl_COCA_02_022,added,"all smpl used, extra added",hg,yes,,,1,G7,,,,
80,2,C,5,temple,8,npk,COCA,2,028,,multi_tmpl_08_npk_COCA_02_028,added,"all smpl used, extra added",hg,yes,,,1,G8,,,,
81,2,D,5,temple,11,ctl,COCA,2,022,,multi_tmpl_11_ctl_COCA_02_022,added,"all smpl used, extra added",hg,yes,,,1,G9,,,,
82,2,E,5,temple,8,npk,MOCI,1,031,,multi_tmpl_08_npk_MOCI_01_031,added,"all smpl used, all extra used",hg,yes,,,1,G10,,,,
83,2,F,5,temple,8,npk,MOCI,2,034,,multi_tmpl_08_npk_MOCI_02_034,added,"all smpl used, all extra used",hg,yes,,,1,G11,,,,
84,2,G,5,temple,8,npk,PAPE,1,037,,multi_tmpl_08_npk_PAPE_01_037,added,"all smpl used, all extra used",hg,yes,,,1,G12,,,,
85,2,A,6,temple,8,npk,SCSC,1,013,,multi_tmpl_08_npk_SCSC_01_013_hard,no,"all smpl used, no need for extra",hg,yes,,,1,H1,,,,
86,2,B,6,temple,8,npk,SCSC,2,016,,multi_tmpl_08_npk_SCSC_02_016,no,"all smpl used, no need for extra",hg,yes,,,1,H2,,,,
87,2,C,6,temple,8,npk,SOHA,1,007,,multi_tmpl_08_npk_SOHA_01_007_hard,no,,hg,yes,,,1,H3,,,,
88,2,D,6,temple,1,ctl,RUTR,1,021,,multi_tmpl_01_ctl_RUTR_01_021 ,no,,hg,yes,,,1,H4,,,,
89,2,E,6,temple,1,ctl,PHMO,2,128,,multi_tmpl_01_ctl_PHMO_02_128,added,"all smpl used, extra used",hg,yes,,,1,H5,,,,
90,2,F,6,temple,1,ctl,PHMO,1,125,,multi_tmpl_01_ctl_PHMO_01_125,added,"all smpl used, all extra useed",hg,yes,,,1,H6,,,,
91,2,G,6,temple,1,ctl,MIPL,2,040,,multi_tmpl_01_ctl_MIPL_02_040,no,,hg,yes,,,1,H7,,,,
92,2,A,7,temple,1,ctl,CIEN,1,089,,multi_tmpl_01_ctl_CIEN_01_089,,velvet-like tissue; will not grind well,hg,yes,,,1,H8,,issue?,,
93,2,B,7,temple,1,ctl,CIEN,2,092,,multi_tmpl_01_ctl_CIEN_02_092,,velvet-like tissue; will not grind well,hg,yes,,,1,H9,,issue?,,
94,2,C,7,temple,8,npk,AMTR,1,019,,multi_tmpl_08_npk_AMTR_01_019_hard,no,,hg,yes,,,1,H10,,,,
95,2,D,7,temple,8,npk,COCA,1,025,,multi_tmpl_08_npk_COCA_01_025_hard,added,"all smpl used, extra added",hg,yes,,,1,H11,,,,
96,2,E,7,temple,11,ctl,MOCI,1,031,,multi_tmpl_11_ctl_MOCI_01_031,added,"all smpl used, all extra used",hg,yes,,,1,H12,,,,
97,2,F,7,temple,21,ctl,AMTR,1,013,,multi_tmpl_21_ctl_AMTR_01_013_hard,no,"all smpl used, no need for extra",hg,yes,,,2,A1,,,,
98,2,G,7,temple,11,ctl,COCA,1,019,021,multi_tmpl_11_ctl_COCA_01_019_hard,added,"all smpl used, all extra used",hg,yes,,,2,A2,,,,
99,3,A,1,temple,11,ctrl,COCA,1,019,,mutli_tmple_11_ctrl_COCA_01_019_NEWHARD,added,"all smpl used, extra added",hg,yes,,,2,A3,,,,
100,3,B,1,temple,18,npk,TOAR,1,025,027,multi_tmpl_18_npk_TOAR_01_025_hard,added,"all smpl used, all extra used",hg,yes,,,2,A4,,,,
101,3,C,1,temple,8,npk,AMTR,2,022,,multi_tmpl_08_npk_AMTR_02_022,no,,hg,yes,,,2,A5,,,,
102,3,D,1,temple,21,ctrl,COCA,1,019,021,multi_tmpl_21_ctrl_COCA_01_019,added,"all smpl used, all extra used",mk,yes,,,2,A6,,,,
103,3,E,1,temple,8,npk,PAPE,2,040,042,multi_tmpl_08_npk_PAPE_02_040,added,"all smpl used, all extra used",mk,yes,,,2,A7,,do PAPE in miniG,,
104,3,F,1,temple,18,npk,TOAR,2,028,,multi_tmpl_18_npk_TOAR_02_028,added,"all smpl used, extra added",mk,yes,,,2,A8,,do TOAR in miniG,,
105,3,G,1,temple,21,ctl,MIPL,1,037,039,multi_tmpl_21_ctl_MIPL_01_037,added,"all smpl used, all extra added",hg,yes,,,2,A9,,,,
106,3,A,2,temple,21,ctrl,GAPU,2,034,036,multi_tmpl_21_ctrl_GAPU_02_034,added,"all smpl used, all extra added",mk,yes,,,2,A10,,,,
107,3,B,2,temple,8,npk,TOAR,2,004,006,multi_tmpl_08_npk_TOAR_02_004,added,"all smpl used, most extra added",hg,yes,,,2,A11,,,,
108,3,C,2,temple,1,ctl,TRBR,2,051,,multi_tmpl_01_ctl_TRBR_02_051,added,"all smpl used, all extra added",mk,yes,,,2,A12,,,,
109,3,D,2,temple,18,npk,SOHA,2,004,,multi_tmpl_18_npk_SOHA_02_004,no,all smpl used,mk,yes,,,2,B1,,,,
110,3,E,2,temple,11,ctl,SCSC,2,016,018,multi_tmpl_11_ctl_SCSC_02_016,added,"all smpl used, all extra used",mk,yes,,,2,B2,,,,
111,3,F,2,temple,8,npk,SOHA,2,010,,multi_tmpl_08_npk_SOHA_02_010,no,all smpl used,mk,yes,,,2,B3,,,,
112,3,G,2,temple,28,npk,SOHA,2,004,,multi_tmpl_28_npk_SOHA_02_004,no,all smpl used,mk,yes,,,2,B4,,,,
113,3,A,3,temple,11,ctl,AMTR,1,007,,multi_tmpl_11_ctl_AMTR_01_007_hard,no,all smpl used ,hg,yes,,,2,B5,,,,
